tarball,beamid,datafile,site,obs_start,mjd,tun1_freq,tun2_freq,target,duration,start_time,ra,dec,mode,lst,obs_end,sess_dur
 DD002_9003.tgz,1, 059558_001623192, LWASV, 2021/12/10 20:54:40.000000 UTC,59558,63.30000001,78, FRB-DETECTION-#2021-12-10-20:53:56.982292UTC_DM345.7_510c619499c, 0:13:30, 2021/12/10 20:54:40.000000 UTC,6.092593,76.398003, TRK_RADEC, 19:06:19.59, 2021/12/10 21:08:10.000000 UTC, 0:13:30 
 DD002_9008.tgz,1, 059565_001685984, LWASV, 2021/12/17 02:54:25.000000 UTC,59565,63.30000001,78, FRB-DETECTION-#2021-12-17-02:53:43.606804UTC_DM321.5_91cfec08b5d, 0:12:40, 2021/12/17 02:54:25.000000 UTC,12.73604,80.342003, TRK_RADEC, 1:30:43.02, 2021/12/17 03:07:05.000000 UTC, 0:12:40 
 DD002_9009.tgz,1, 059565_001690288, LWASV, 2021/12/17 12:52:05.000000 UTC,59565,63.30000001,78, FRB-DETECTION-#2021-12-17-12:51:22.924195UTC_DM122.5_100bfaa08ef, 0:04:50, 2021/12/17 12:52:05.000000 UTC,10.60158,74.663902, TRK_RADEC, 11:30:01.20, 2021/12/17 12:56:55.000000 UTC, 0:04:50 
 DD002_9010.tgz,1, 059568_001716923, LWASV, 2021/12/20 05:15:42.000000 UTC,59568,63.30000001,78, FRB-DETECTION-#2021-12-20-05:14:57.880512UTC_DM222.0_cd11d1d4920, 0:08:40, 2021/12/20 05:15:42.000000 UTC,3.22146,49.628799, TRK_RADEC, 4:04:12.92, 2021/12/20 05:24:22.000000 UTC, 0:08:40 
 DD002_9011.tgz,1, 059568_001717151, LWASV, 2021/12/20 05:48:57.000000 UTC,59568,63.30000001,78, FRB-DETECTION-#2021-12-20-05:48:13.758423UTC_DM324.3_73890fba991, 0:12:40, 2021/12/20 05:48:57.000000 UTC,3.775267,40.945099, TRK_RADEC, 4:37:33.38, 2021/12/20 06:01:37.000000 UTC, 0:12:40 
 DD002_9012.tgz,1, 059570_001736349, LWASV, 2021/12/22 03:43:51.000000 UTC,59570,63.30000001,78, FRB-DETECTION-#2021-12-22-03:43:10.102036UTC_DM349.0_4df66b1ca35, 0:13:40, 2021/12/22 03:43:51.000000 UTC,1.683087,65.7155, TRK_RADEC, 2:39:59.95, 2021/12/22 03:57:31.000000 UTC, 0:13:40 
 DD002_9013.tgz,1, 059571_001749829, LWASV, 2021/12/23 11:30:34.000000 UTC,59571,63.30000001,78, FRB-DETECTION-#2021-12-23-11:29:50.619197UTC_DM266.5_aa8e931c940, 0:10:30, 2021/12/23 11:30:34.000000 UTC,8.52662,86.784897, TRK_RADEC, 10:31:56.18, 2021/12/23 11:41:04.000000 UTC, 0:10:30 
 DD002_9014.tgz,1, 059576_001800973, LWASV, 2021/12/28 14:11:03.000000 UTC,59576,63.30000001,78, FRB-DETECTION-#2021-12-28-14:10:19.318067UTC_DM274.2_eaa1ce1c881, 0:10:50, 2021/12/28 14:11:03.000000 UTC,12.613673,58.001598, TRK_RADEC, 13:32:34.31, 2021/12/28 14:21:53.000000 UTC, 0:10:50 
 DD002_9015.tgz,1, 059582_001859990, LWASV, 2022/01/03 10:43:12.000000 UTC,59582,63.30000001,78, FRB-DETECTION-#2022-01-03-10:42:25.895093UTC_DM397.5_de80fb3285d, 0:15:30, 2022/01/03 10:43:12.000000 UTC,9.554906,24.0124, TRK_RADEC, 10:27:48.55, 2022/01/03 10:58:42.000000 UTC, 0:15:30 
 DD002_9016.tgz,1, 059594_001987578, LWASV, 2022/01/15 21:36:43.000000 UTC,59594,63.30000001,78, FRB-DETECTION-#2022-01-15-21:35:58.211399UTC_DM173.5_27aca4c89ca, 0:06:50, 2022/01/15 21:36:43.000000 UTC,21.309862,80.152527, TRK_RADEC, 22:10:25.59, 2022/01/15 21:43:33.000000 UTC, 0:06:50 
