tarball,beamid,datafile,site,obs_start,mjd,tun1_freq,tun2_freq,target,duration,start_time,ra,dec,mode,lst,obs_end,sess_dur
DD002_8003.tgz,4, 059558_001936551, LWA1, 2021/12/10 20:54:41.000000 UTC,59558,63.30000001,78, FRB-DETECTION-#2021-12-10-20:53:56.982292UTC_DM345.7_510c619499c, 0:13:30, 2021/12/10 20:54:41.000000 UTC,6.092593,76.398003, TRK_RADEC, 19:03:22.38, 2021/12/10 21:08:11.000000 UTC, 0:13:30 
 DD002_8004.tgz,3, 059565_002008479, LWA1, 2021/12/17 02:54:26.000000 UTC,59565,63.30000001,78, FRB-DETECTION-#2021-12-17-02:53:43.606804UTC_DM321.5_91cfec08b5d, 0:12:40, 2021/12/17 02:54:26.000000 UTC,12.73604,80.342003, TRK_RADEC, 1:27:45.80, 2021/12/17 03:07:06.000000 UTC, 0:12:40 
 DD002_8005.tgz,3, 059565_002013268, LWA1, 2021/12/17 12:52:05.000000 UTC,59565,63.30000001,78, FRB-DETECTION-#2021-12-17-12:51:22.924195UTC_DM122.5_100bfaa08ef, 0:04:50, 2021/12/17 12:52:05.000000 UTC,10.60158,74.663902, TRK_RADEC, 11:27:02.98, 2021/12/17 12:56:55.000000 UTC, 0:04:50 
 DD002_8006.tgz,3, 059568_002043596, LWA1, 2021/12/20 05:15:42.000000 UTC,59568,63.30000001,78, FRB-DETECTION-#2021-12-20-05:14:57.880512UTC_DM222.0_cd11d1d4920, 0:08:40, 2021/12/20 05:15:42.000000 UTC,3.22146,49.628799, TRK_RADEC, 4:01:14.70, 2021/12/20 05:24:22.000000 UTC, 0:08:40 
 DD002_8007.tgz,3, 059568_002043880, LWA1, 2021/12/20 05:48:58.000000 UTC,59568,63.30000001,78, FRB-DETECTION-#2021-12-20-05:48:13.758423UTC_DM324.3_73890fba991, 0:12:40, 2021/12/20 05:48:58.000000 UTC,3.775267,40.945099, TRK_RADEC, 4:34:36.16, 2021/12/20 06:01:38.000000 UTC, 0:12:40 
 DD002_8008.tgz,3, 059570_002065687, LWA1, 2021/12/22 03:43:51.000000 UTC,59570,63.30000001,78, FRB-DETECTION-#2021-12-22-03:43:10.102036UTC_DM349.0_4df66b1ca35, 0:13:40, 2021/12/22 03:43:51.000000 UTC,1.683087,65.7155, TRK_RADEC, 2:37:01.74, 2021/12/22 03:57:31.000000 UTC, 0:13:40 
 DD002_8009.tgz,3, 059571_002080500, LWA1, 2021/12/23 11:30:34.000000 UTC,59571,63.30000001,78, FRB-DETECTION-#2021-12-23-11:29:50.619197UTC_DM266.5_aa8e931c940, 0:10:30, 2021/12/23 11:30:34.000000 UTC,8.52662,86.784897, TRK_RADEC, 10:28:57.97, 2021/12/23 11:41:04.000000 UTC, 0:10:30 
 DD002_8010.tgz,3, 059576_002138725, LWA1, 2021/12/28 14:11:04.000000 UTC,59576,63.30000001,78, FRB-DETECTION-#2021-12-28-14:10:19.318067UTC_DM274.2_eaa1ce1c881, 0:10:50, 2021/12/28 14:11:04.000000 UTC,12.613673,58.001598, TRK_RADEC, 13:29:37.10, 2021/12/28 14:21:54.000000 UTC, 0:10:50 
 DD002_8011.tgz,3, 059582_002205771, LWA1, 2022/01/03 10:43:12.000000 UTC,59582,63.30000001,78, FRB-DETECTION-#2022-01-03-10:42:25.895093UTC_DM397.5_de80fb3285d, 0:15:30, 2022/01/03 10:43:12.000000 UTC,9.554906,24.0124, TRK_RADEC, 10:24:50.33, 2022/01/03 10:58:42.000000 UTC, 0:15:30 
 DD002_8012.tgz,3, 059594_002353169, LWA1, 2022/01/15 21:36:44.000000 UTC,59594,63.30000001,78, FRB-DETECTION-#2022-01-15-21:35:58.211399UTC_DM173.5_27aca4c89ca, 0:06:50, 2022/01/15 21:36:44.000000 UTC,21.309862,80.152527, TRK_RADEC, 22:07:28.38, 2022/01/15 21:43:34.000000 UTC, 0:06:50 
 DD002_8013.tgz,3, 059597_002386773, LWA1, 2022/01/18 18:52:57.000000 UTC,59597,63.30000001,78, FRB-DETECTION-#2022-01-18-18:52:13.140459UTC_DM327.9_c6b1e78687f, 0:12:50, 2022/01/18 18:52:57.000000 UTC,18.717632,55.508099, TRK_RADEC, 19:35:04.16, 2022/01/18 19:05:47.000000 UTC, 0:12:50 
 DD002_8014.tgz,3, 059601_002430876, LWA1, 2022/01/22 15:00:32.000000 UTC,59601,63.30000001,78, FRB-DETECTION-#2022-01-22-14:59:47.369328UTC_DM213.9_f78630f494e, 0:08:30, 2022/01/22 15:00:32.000000 UTC,15.172079,35.707886, TRK_RADEC, 15:57:47.20, 2022/01/22 15:09:02.000000 UTC, 0:08:30 
 DD002_8015.tgz,2, 059603_002455021, LWA1, 2022/01/24 17:30:47.000000 UTC,59603,63.30000001,78, FRB-DETECTION-#2022-01-24-17:30:02.457579UTC_DM268.9_48ee3e5ca9f, 0:10:30, 2022/01/24 17:30:47.000000 UTC,17.784843,48.570721, TRK_RADEC, 18:36:19.98, 2022/01/24 17:41:17.000000 UTC, 0:10:30 
 DD002_8016.tgz,3, 059605_002470206, LWA1, 2022/01/26 01:00:57.000000 UTC,59605,63.30000001,78, FRB-DETECTION-#2022-01-26-01:00:14.067957UTC_DM207.4_579dc96ea61, 0:08:09, 2022/01/26 01:00:57.000000 UTC,1.324367,20.499081, TRK_RADEC, 2:11:40.48, 2022/01/26 01:09:06.000000 UTC, 0:08:09 
 DD002_8017.tgz,4, 059607_002495533, LWA1, 2022/01/28 03:56:55.000000 UTC,59607,63.30000001,78, FRB-DETECTION-#2022-01-28-03:56:13.098304UTC_DM261.6_41c294f6a3a, 0:10:20, 2022/01/28 03:56:55.000000 UTC,4.773117,87.236961, TRK_RADEC, 5:16:00.51, 2022/01/28 04:07:15.000000 UTC, 0:10:20 
 DD002_8018.tgz,3, 059608_002513352, LWA1, 2022/01/29 16:52:52.000000 UTC,59608,63.30000001,78, FRB-DETECTION-#2022-01-29-16:52:09.085289UTC_DM179.9_d215f0769ec, 0:07:10, 2022/01/29 16:52:52.000000 UTC,17.332371,69.922012, TRK_RADEC, 18:18:01.55, 2022/01/29 17:00:02.000000 UTC, 0:07:10 
 DD002_8019.tgz,2, 059609_002522431, LWA1, 2022/01/30 11:23:13.000000 UTC,59609,63.30000001,78, FRB-DETECTION-#2022-01-30-11:22:31.585661UTC_DM221.6_efd553aeb6f, 0:08:50, 2022/01/30 11:23:13.000000 UTC,11.857283,70.701569, TRK_RADEC, 12:51:24.96, 2022/01/30 11:32:03.000000 UTC, 0:08:50 
